id,provinsi_kabupaten_kota,kode_wilayah
1,KAB. ACEH SINGKIL,11.10
2,KAB. BIREUEN,11.11
3,KAB. ACEH BARAT DAYA,11.12
4,KAB. GAYO LUES,11.13
5,KAB. ACEH JAYA,11.14
6,KAB. ACEH TAMIANG,11.16
7,KAB. NAGAN RAYA,11.15
8,KAB. BENER MERIAH,11.17
9,KAB. PIDIE JAYA,11.18
10,KOTA BANDA ACEH,11.71
11,KOTA SABANG,11.72
12,KOTA LANGSA,11.74
13,KOTA SUBULUSSALAM,11.75
14,SUMATERA UTARA,12
15,KAB. TAPANULI TENGAH,12.01
16,KAB. TAPANULI UTARA,12.02
17,KAB. TAPANULI SELATAN,12.03
18,KAB. NIAS,12.04
19,KAB. LANGKAT,12.05
20,KAB. KARO,12.06
21,KAB. SIMALUNGUN,12.08
22,KAB. LABUHANBATU,12.10
23,KAB. DAIRI,12.11
24,KAB. MANDAILING NATAL,12.13
25,KAB. NIAS SELATAN,12.14
26,KAB. PAKPAK BHARAT,12.15
27,KAB. HUMBANG HASUNDUTAN,12.16
28,KAB. SAMOSIR,12.17
29,KAB. SERDANG BEDAGAI,12.18
30,KAB. BATU BARA,12.19
31,KAB. PADANG LAWAS UTARA,12.20
32,KAB. PADANG LAWAS,12.21
33,KAB. LABUHANBATU SELATAN,12.22
34,KAB. LABUHANBATU UTARA,12.23
35,KAB. NIAS UTARA,12.24
36,KAB. NIAS BARAT,12.25
37,KOTA PEMATANGSIANTAR,12.72
38,KOTA SIBOLGA,12.73
39,KOTA TANJUNG BALAI,12.74
40,KOTA BINJAI,12.75
41,KOTA PADANG SIDEMPUAN,12.77
42,KOTA GUNUNGSITOLI,12.78
43,SUMATERA BARAT,13
44,KAB. PESISIR SELATAN,13.01
45,KAB. SOLOK,13.02
46,KAB. PASAMAN,13.08
47,KAB. KEPULAUAN MENTAWAI,13.09
48,KAB. DHARMASRAYA,13.10
49,KAB. SOLOK SELATAN,13.11
50,KAB. PASAMAN BARAT,13.12
51,KOTA PADANG,13.71
52,KOTA SOLOK,13.72
53,KOTA PADANG PANJANG,13.74
54,KOTA BUKITTINGGI,13.75
55,KOTA PAYAKUMBUH,13.76
56,KOTA PARIAMAN,13.77
57,RIAU,14
58,KAB. KAMPAR,14.01
59,KAB. BENGKALIS,14.03
60,KAB.  PELALAWAN,14.05
61,KAB.  ROKAN HULU,14.06
62,KAB.  ROKAN HILIR,14.07
63,KAB. SIAK,14.08
64,KAB. KUANTAN SINGINGI,14.09
65,KOTA PEKANBARU,14.71
66,KOTA DUMAI,14.72
67,JAMBI,15
68,KAB.  KERINCI,15.01
69,KAB. SAROLANGUN,15.03
70,KAB. BATANGHARI,15.04
71,KAB.  MUARO JAMBI,15.05
